car,posx,posy,vitesse,distance,BS,start,end,lifetime,lineid,roadid,Theta,Cdistance,NewLoad
3603,5874.477184,4267.073049,11.648371,566.317791,1,42844,42934,90,3184400,318440,0.635208692,529.0191792,59
3604,5776.016229,4274.219061,13.282698,516.601826,1,42846,42932,86,3184400,318440,0.750236849,539.1251663,59
3605,5550.013382,4298.149008,14.202096,414.984409,1,42848,42850,2,3184410,318441,1.14651405,572.9672219,59
4217,5535.584221,3688.527429,12.423563,1067.711256,1,42850,42914,64,3256400,325640,-0.881303803,289.167883,59
4219,5527.646129,3689.934138,12.472639,1066.718413,1,42851,42917,66,3256400,325640,-0.901503625,287.1784961,59
4223,5564.219238,3493.941375,17.129256,1261.264373,1,42853,42895,42,31952150,3195215,-1.111790481,564.3541197,59
3763,5865.299204,4267.69122,10.325264,472.010403,1,42854,42936,82,3184400,318440,0.644741702,529.893405,59
3563,5611.037027,4298.158898,0.116322,457.473027,1,42858,42898,40,3216000,321600,1.028669576,572.9812085,59
3764,5674.993302,4284.156372,12.71988,478.995347,1,42862,42936,74,3184400,318440,0.903790761,553.1786463,59
4237,5569.733709,3501.636742,16.488524,383.847076,1,42865,42917,52,31952150,3195215,-1.092837438,553.4712273,59
3726,5901.124812,4265.278233,11.136396,491.968935,1,42870,42934,64,3184400,318440,0.608701183,526.4809261,59
4245,5523.933357,3808.838429,11.740939,948.261104,1,42873,42903,30,3240620,324062,-0.492255319,119.0224351,59
3516,6216.012991,3855.994725,13.384985,627.683517,1,42889,42891,2,31952170,3195217,-0.04355866,52.33336178,59
3483,6137.631167,3799.093143,14.43841,555.316257,1,42891,42947,56,31952161,3195216,-0.121259231,132.8043508,59
3516,6141.996639,3796.614943,13.213184,560.015358,1,42897,42959,62,31952160,3195216,-0.123733019,136.3090548,59
4300,5534.477442,3996.841472,14.020308,124.423568,1,42911,43049,138,3194030,319403,0.555019267,146.854018,47
3615,6044.415364,4120.927082,11.875036,512.898373,1,42913,43093,180,3025611,302561,0.324567093,322.3375706,47
4302,5525.772807,3994.555503,12.954797,762.90537,1,42914,43046,132,3194030,319403,0.569049108,143.6211697,47
4193,5611.064957,4298.354358,2.253527,457.279307,1,42918,43050,132,3216000,321600,1.028832151,573.2576307,47
4310,5530.114241,3995.695629,11.428421,761.43228,1,42919,43051,132,3194030,319403,0.561895527,145.2335513,47
3408,5559.192369,4297.280175,10.762609,458.563739,1,42928,42932,4,3184410,318441,1.127026572,571.7385065,47
4164,5728.932923,4282.077383,11.747247,421.012673,1,42933,42947,14,3184400,318440,0.821526361,550.2385119,47
3726,5552.458847,4297.917534,11.443698,414.531236,1,42938,42940,2,3184410,318441,1.141296042,572.6398682,47
4164,5941.851397,4265.851312,12.091273,519.183811,1,42951,42957,6,3184400,318440,0.575393709,527.2913822,47
4103,5611.970028,4304.688194,1.958303,451.003576,1,42957,43059,102,3216000,321600,1.034033509,582.2150274,47
2838,6148.559665,3797.942925,13.278943,566.291403,1,42961,43097,136,31952160,3195216,-0.121030399,134.4310047,47
3807,6002.274323,4109.843333,13.527765,767.254775,1,42961,43053,92,3025611,302561,0.328937465,306.6627824,47
3508,6050.656684,4125.804939,13.57854,781.577857,1,42962,43002,40,3025612,302561,0.32821263,329.2359021,47
3473,6021.547585,4111.899951,12.385046,776.150293,1,42963,43057,94,3025610,302561,0.322736683,309.5712795,47
3980,6002.212475,4106.399198,14.74881,468.787963,1,42967,43053,86,3025610,302561,0.32410309,301.79204,47
3635,5982.182008,4104.224864,11.654197,450.168449,1,42968,43054,86,3025621,302562,0.330741388,298.7170674,47
4381,5567.333986,3492.628278,16.290686,392.969444,1,42971,43015,44,31952151,3195215,-1.106852787,566.2111192,47
4383,5565.694404,3495.999948,13.589026,389.697564,1,42972,43026,54,31952150,3195215,-1.106757101,561.4428578,47
4046,6000.997376,4112.914526,9.279428,763.981403,1,42974,42984,10,3025612,302561,0.333883481,311.0061052,47
3616,5876.367471,4266.945732,13.635006,477.97762,1,42976,43054,78,3184400,318440,0.633271537,528.8391258,47
3789,6023.729447,4112.520681,12.276305,776.860531,1,42982,43056,74,3025610,302561,0.322587467,310.4491243,47
4422,5535.989294,3997.238507,14.076951,124.127424,1,42993,43147,154,3194030,319403,0.552706279,147.4155103,47
4429,5524.610192,3994.250182,11.587063,763.303854,1,42996,43146,150,3194030,319403,0.571020211,143.1893806,47
4430,5533.685654,3993.222939,13.272892,121.539629,1,42996,43144,148,3194031,319403,0.541352165,141.7366396,47
4108,5611.561777,4288.739405,8.370912,404.369313,1,43007,43057,50,1058870,105887,1.017256026,559.6600337,40
4289,6005.212216,4114.112542,10.292823,475.105426,1,43009,43135,126,3025612,302561,0.333514225,312.7003557,40
